zipcode,bldgtype,eui,wui,ghg,ess,electricity,natural_gas,gfa,year
10010,Office,180.5,36.97,6.55,67.0,3275454.9,1521186.7,75000.0,1912
10018,Office,235.6,14.7,7.71,89.0,29000061.7,580918.0,432310.0,1925
10001,Office,219.9,15.88,6.96,78.0,20341392.9,1134948.4,314780.0,1915
10018,Multifamily Housing,150.3,38.1,5.37,35.0,11133064.0,19148921.6,373416.0,2001
11201,Multifamily Housing,200.1,48.89,7.12,3.0,1571201.4,2871139.0,41000.0,2004
10001,Office,134.0,21.52,4.81,92.0,4872782.9,356696.7,142000.0,1910
10036,Multifamily Housing,176.0,71.26,6.27,28.0,16592328.9,28221798.4,473935.0,2013
10036,Multifamily Housing,136.9,0.0,4.84,62.0,6765201.0,10448996.6,238729.0,2013
11230,Multifamily Housing,127.5,103.72,5.26,60.0,826342.8,4570279.3,60060.0,1929
11369,Hotel,227.5,53.37,9.29,41.0,9114943.2,2960158.0,185000.0,1962
10458,Multifamily Housing,119.0,99.6,5.96,78.0,447933.0,274153.1,25500.0,1915
11220,Multifamily Housing,150.8,83.99,6.13,32.0,1500737.1,8107979.3,91997.0,1927
10452,Multifamily Housing,93.6,56.62,3.51,92.0,2450342.8,6236615.7,156467.0,2014
11204,Multifamily Housing,130.5,67.13,5.43,75.0,603114.0,4106999.9,50058.0,1929
11235,Multifamily Housing,124.4,77.99,5.12,76.0,494188.5,3149148.1,41200.0,1932
11210,Multifamily Housing,122.6,74.97,5.04,69.0,332588.6,2049472.1,27439.0,1931
10452,Multifamily Housing,103.0,6.19,3.83,85.0,1181023.3,2927351.6,67915.0,2012
10461,Multifamily Housing,142.0,74.9,5.59,33.0,2226458.1,9285279.2,123573.0,1962
11212,Multifamily Housing,85.4,32.33,3.18,94.0,827681.9,2188909.0,59670.0,2014
10456,Multifamily Housing,121.5,111.92,4.58,68.0,987227.5,2697436.4,50411.0,2008
10037,Multifamily Housing,112.6,54.36,4.22,78.0,1171735.5,2980060.1,62169.0,2011
10452,Multifamily Housing,156.9,79.68,6.28,29.0,1103598.8,4324908.7,52127.0,2006
11233,Multifamily Housing,118.5,84.72,4.4,62.0,3296030.8,7883600.2,161560.0,2009
10018,Office,154.2,25.46,5.29,88.0,6629284.3,98416.6,156446.0,1920
10001,Multifamily Housing,214.6,58.61,8.05,6.0,9400763.5,24338275.5,264081.0,2008
10467,Multifamily Housing,130.3,27.07,4.92,46.0,2714421.7,8052108.4,135884.0,2010
10018,Office,146.1,19.18,5.44,78.0,4782928.3,2385451.6,140720.0,1920
10013,Office,186.3,5.57,5.66,71.0,2714297.4,984136.3,51719.0,1910
10011,Office,126.6,29.88,4.25,87.0,1452089.2,38489.8,42413.0,1900
10001,Office,146.1,13.68,5.18,86.0,4551326.7,970.0,117158.0,1913
10030,Multifamily Housing,103.7,90.47,3.7,78.0,1301658.1,1908760.6,58569.0,1926
10026,Multifamily Housing,149.4,63.76,5.64,25.0,1476171.3,4444417.7,65048.0,1915
10456,Multifamily Housing,120.1,72.39,4.78,58.0,479325.8,2170166.8,33000.0,1912
10457,Multifamily Housing,125.1,26.06,4.82,66.0,755585.0,2827833.4,45046.0,2001
10039,Multifamily Housing,138.2,151.89,5.4,41.0,860501.8,3211024.1,45744.0,1920
10016,Multifamily Housing,126.2,64.62,7.1,75.0,511304.6,67365.6,32316.0,1930
10023,Multifamily Housing,122.7,35.85,7.02,61.0,637457.9,63315.6,49453.0,1923
10027,Multifamily Housing,243.7,84.58,15.11,2.0,360648.4,150703.1,29553.0,1905
10025,Multifamily Housing,148.6,37.1,8.21,51.0,767964.2,182736.7,45629.0,1916
10027,Multifamily Housing,152.5,61.52,8.24,53.0,941250.2,254296.9,52000.0,1941
10025,Multifamily Housing,100.3,23.88,5.5,83.0,906135.3,146876.7,84000.0,1916
10024,Multifamily Housing,149.2,56.39,7.8,42.0,2271976.2,234727.3,112000.0,1922
11372,Multifamily Housing,218.9,109.81,11.93,4.0,756277.3,2549720.0,45532.0,1928
10036,Hotel,259.3,80.36,9.25,42.0,24268530.4,44375565.6,487156.0,1961
10014,Worship Facility,88.4,0.0,3.48,84.0,686822.0,3887853.3,76888.0,1926
11378,Non-Refrigerated Warehouse,163.9,6.04,5.05,23.0,3954917.4,1742499.7,87810.0,1963
11225,Multifamily Housing,89.6,50.28,3.59,94.0,1149908.7,5794931.2,114000.0,1930
11225,Multifamily Housing,107.1,107.07,4.36,82.0,1218098.3,7004376.2,110000.0,1926
11226,Multifamily Housing,120.9,62.62,4.92,60.0,816503.3,5126556.1,70000.0,1929
11368,Hotel,330.5,51.61,12.29,10.0,6754263.3,16103299.9,118300.0,1963
10003,Multifamily Housing,150.9,47.58,7.45,27.0,3324001.0,192554.8,125000.0,1962
10025,Multifamily Housing,110.2,36.83,5.82,83.0,1041564.1,193536.7,92000.0,1925
